MemberName,LastName,FirstName,PartyAffiliation,State,OfficeAddress,OfficePhone,ContactFormURL,OfficialWebSite,Class,BioGuideURL,LeadershipPosition
Tester (D-MT),Tester,Jon,Democrat,Montana,311 Hart Senate Office Building Washington DC 20510,(202) 224-2644,"URL[""https://www.tester.senate.gov/?p=email_senator""]","URL[""http://www.tester.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000464""]",None
Thune (R-SD),Thune,John,Republican,South Dakota,511 Dirksen Senate Office Building Washington DC 20510,(202) 224-2321,"URL[""http://www.thune.senate.gov/public/index.cfm/contact""]","URL[""http://www.thune.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000250""]",Assistant Majority Leader
Tillis (R-NC),Tillis,Thom,Republican,North Carolina,113 Dirksen Senate Office Building Washington DC 20510,(202) 224-6342,"URL[""https://www.tillis.senate.gov/public/index.cfm/email-me""]","URL[""http://www.tillis.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000476""]",None
Toomey (R-PA),Toomey,Patrick J.,Republican,Pennsylvania,248 Russell Senate Office Building Washington DC 20510,(202) 224-4254,"URL[""https://www.toomey.senate.gov/?p=contact""]","URL[""http://www.toomey.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000461""]",None
Udall (D-NM),Udall,Tom,Democrat,New Mexico,531 Hart Senate Office Building Washington DC 20510,(202) 224-6621,"URL[""https://www.tomudall.senate.gov/?p=contact""]","URL[""http://www.tomudall.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=U000039""]",None
Van Hollen (D-MD),Van Hollen,Chris,Democrat,Maryland,110 Hart Senate Office Building Washington DC 20510,(202) 224-4654,"URL[""http://www.vanhollen.senate.gov/contact/email""]","URL[""http://www.vanhollen.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=V000128""]",None
Warner (D-VA),Warner,Mark R.,Democrat,Virginia,703 Hart Senate Office Building Washington DC 20510,(202) 224-2023,"URL[""http://www.warner.senate.gov/public/index.cfm?p=Contact""]","URL[""http://www.warner.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000805""]",None
Warren (D-MA),Warren,Elizabeth,Democrat,Massachusetts,309 Hart Senate Office Building Washington DC 20510,(202) 224-4543,"URL[""https://www.warren.senate.gov/?p=email_senator""]","URL[""http://www.warren.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000817""]",None
Whitehouse (D-RI),Whitehouse,Sheldon,Democrat,Rhode Island,530 Hart Senate Office Building Washington DC 20510,(202) 224-2921,"URL[""https://www.whitehouse.senate.gov/contact/email-sheldon""]","URL[""http://www.whitehouse.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000802""]",None
Wicker (R-MS),Wicker,Roger F.,Republican,Mississippi,555 Dirksen Senate Office Building Washington DC 20510,(202) 224-6253,"URL[""https://www.wicker.senate.gov/public/index.cfm/contact""]","URL[""http://www.wicker.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000437""]",None
Wyden (D-OR),Wyden,Ron,Democrat,Oregon,221 Dirksen Senate Office Building Washington DC 20510,(202) 224-5244,"URL[""https://www.wyden.senate.gov/contact/""]","URL[""http://www.wyden.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000779""]",None
Young (R-IN),Young,Todd,Republican,Indiana,185 Dirksen Senate Office Building Washington DC 20510,(202) 224-5623,"URL[""https://www.young.senate.gov/contact""]","URL[""http://www.young.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=Y000064""]",None
